"City";"NbCells";"Amazon_Web_Services";"Apple_App_Store";"Apple_iCloud";"Apple_iMessage";"Apple_iTunes";"Apple_Mail";"Apple_Music";"Apple_Siri";"Apple_Video";"Apple_Web_Services";"Clash_of_Clans";"DailyMotion";"Deezer";"Dropbox";"EA_Games";"Facebook";"Facebook_Live";"Facebook_Messenger";"Fortnite";"Google_Docs";"Google_Drive";"Google_Mail";"Google_Maps";"Google_Meet";"Google_Play_Store";"Google_Web_Services";"Instagram";"LinkedIn";"Microsoft_Azure";"Microsoft_Mail";"Microsoft_Office";"Microsoft_Skydrive";"Microsoft_Store";"Microsoft_Web_Services";"Molotov";"Netflix";"Orange_TV";"Periscope";"Pinterest";"PlayStation";"Pokemon_GO";"Skype";"Snapchat";"SoundCloud";"Spotify";"TeamViewer";"Telegram";"Tor";"Twitch";"Twitter";"Uber";"Waze";"Web_Ads";"Web_Adult";"Web_Clothes";"Web_Downloads";"Web_e-Commerce";"Web_Finance";"Web_Food";"Web_Games";"Web_Streaming";"Web_Transportation";"Web_Weather";"WhatsApp";"Wikipedia";"Yahoo";"Yahoo_Mail";"YouTube"
"Bordeaux";57846;4349858360;215127470116;147953576213;6830278180;11039614626;1271568427;42778959286;1292330268;160817200319;27093129802;1219992137;42747502340;118475501406;7596168688;2508965522;346966482076;240240739455;338741415;286327305;1081034870;21957280451;6346207617;14896271787;14184964861;167909502653;78854098375;861889137429;54383713964;1011196925;16125091204;2837465245;5850749984;37906422441;7012757225;23942522277;279689532654;27532720751;1865339344;22298675719;19095266129;2210710843;1025073979;171381848288;6815773717;16603038219;88554113;2345688793;201712435;73109396166;54172090304;1320221317;7820847188;83298662529;2845666753;16094240180;140086452207;22495088734;2928552506;576056633;1612104647;33330123204;4201420566;3578082288;19358152498;999184386;4369554408;2412680841;237503695145
"Clermont-Ferrand";30393;912815963;30879170804;21280387361;1153304599;1542315577;150288445;5740721411;214415787;31390882124;4100887008;228896589;6746112055;18514195690;1055894584;468223527;64173699763;44006128718;63825346;40791311;422127534;3244626567;1095421788;1975384125;1060363820;36476226554;14361464472;135199239565;6719297326;88206563;2176714748;359070719;747530113;7996989078;1406746583;4417318727;40801691706;5680168814;352420957;3762046929;5668969374;494129727;141600311;32290935519;613506103;2641100055;7063290;317905118;69061264;12509140017;11251441308;45668523;758900073;16083563321;661118456;3115939005;28300844199;4867569404;593178345;110651871;431798226;6291272512;701910403;555531422;2659061417;169590653;626945795;381830890;42165333047
"Dijon";23682;734702913;29621240690;20161333001;336965708;1645093322;193761033;5727399196;183026777;21632815142;3798824363;218314361;5443900722;17507049349;883456562;354464313;55159558689;40299644542;52632490;44462322;316319459;2934737113;773462695;1564802963;1340856518;33807645898;11791413952;115820930397;6361107915;88005542;2064426726;367844739;294126046;6922928216;1260443766;5039925531;44114137809;6434706577;554974812;3410800759;2995561711;445720291;101824214;37876497121;895979546;2212682843;20576170;247244237;20531170;10933024974;15491411093;43530651;513684718;15020891295;406167237;2615251603;25895977970;4011098262;601807745;82145988;314522114;5099878182;790482492;598847701;2558998756;175123545;636229437;333039715;42678145969
"Grenoble";54412;1910577070;56360861777;40827461043;2211424849;2966880073;237798167;9495308992;375098142;36996687165;7130760460;473626962;15007851645;41876846947;3342910090;777103461;111222780229;75916287409;105116908;105081045;578432475;6835128293;1953780798;3666522209;2775048681;66560336529;27460950980;212028029101;13616756845;268979172;4674427468;688554687;1777442258;14784732612;2447262588;8450668658;81357781734;8924761575;1075385132;6700693306;8270680728;752107705;308027053;68480461637;1828850390;5357032085;20176544;963254436;110965387;24066384971;15237516437;109824042;1620133010;30342340158;975334970;4389107649;54391949395;8640271460;1246320763;183295442;557632596;13141058596;1367353848;954161878;7635599668;333579246;1719865144;917864288;87094763771
"Lille";67750;7982567784;275143365769;181894238854;9561638892;14178133546;1193947617;49251336887;1733108705;135474312555;35067544636;1930244356;56229458457;148991991575;9913243799;3171122619;503110452578;346265714709;550448378;550349652;1830546666;28153425873;6976846591;14553185045;15481558363;237374209982;106993970149;859104521829;74796222603;967850994;19843666126;4211402076;5191811314;49357909371;8130346974;42598376862;346741356637;32220713666;4502697501;28069943168;49340990199;3428212547;1388304867;305607915348;6724722423;23471304115;101976755;2397552018;337393541;103413703600;121288445780;999162488;8466662452;101849159969;4596975648;28430071992;199717266673;35493527229;4291852522;1024642160;2363401099;54852191576;6017062328;3769904208;23513455297;1086922971;5366817631;3363150923;315915373020
"Lyon";54013;5832360629;232876822859;148115479194;8129400307;11349895872;1266261955;46564891565;1470993081;165620003205;32388255374;1350350558;51090698357;127886926344;11138401080;1965181656;351255796632;236613450906;398780377;224909474;1166927654;24857963303;6718262825;16932606859;14271533815;186805840693;91814188257;786607315259;79314689290;936470735;18566945483;3304903168;3860383548;39415247757;7475621461;27464338146;297159943838;30840593684;3383588011;20640087852;15321403608;2654261188;1115586345;208656962609;7426173494;20377607850;80654670;2446610938;464883787;65974910383;61001613115;1483804577;7252490937;93309663440;3566156398;16242286998;155647412930;27197971095;3910943200;588664594;1663645450;37532312282;5335013966;3527926329;27645145280;1179250928;5617051613;3403870395;286007604122
"Mans";26859;701521764;26068788541;17520383778;935092849;1211992690;124135609;3919744840;156107597;17641170200;3504259239;201913399;5795018965;13491486928;1091890276;681307994;55572586130;38945277094;50178667;47757515;125907908;2559045898;850284807;1585671860;817687724;32292558681;11767734134;85007289677;4918613059;186139415;1925636964;666812360;361168169;5166347752;1052707297;4114302521;36496587425;6371243978;268635903;3369052064;4997647670;504099713;143282868;27217438956;493812371;1926589873;16007249;172140612;17701632;8749118760;13724089380;15266784;667566088;13442739112;228917891;2557615992;21619655139;3936987114;486784155;72649534;295615226;5504142317;639573978;682403316;2673224768;120409958;601472187;307922357;30363674456
"Marseille";23663;2850172755;109431418255;82893453383;4813968758;5140906276;660042638;20788290300;696348238;80901009332;13777488057;570867667;21640483830;49415389105;4741898111;674628073;174592358840;120439330982;204391580;156624837;554053979;10650051234;3140104740;5878839793;5521856713;83083563587;38608647480;357450540887;16393881414;288968467;8224071139;946270994;1508347018;14903618839;2779211446;13996995996;128500702129;15421895510;1380314522;8266063734;11891727900;720182407;704237054;126430824347;1997160157;6641947614;42338137;1163715118;57395470;25137420072;22048373728;399379150;2021012570;40512005164;1007520192;8348351977;67519322630;13275024292;2341539544;287184745;854144845;23448858811;2292165431;1620689857;11244287956;456018556;2256301862;1531244107;124448554243
"Metz";30744;1217833994;44898899605;27765259902;559677155;2315892532;196793646;8864981963;272071245;26261283780;5242167576;277455836;7632206994;29715844756;924006053;628521598;80218887216;56553263050;74223256;64316862;228766739;4230201200;1172386431;2293078409;1854770239;40568024590;15855763639;142166928852;8832975336;164099922;2745248375;601191776;561318306;7998589200;1269127009;4927526323;61093288171;6187892444;778685026;4299504806;8158005847;682345261;129771702;58966672016;756416849;3656354642;19852965;494163023;162423642;13862863805;23043212618;36205441;706447822;18568369535;642055627;3717820066;34904561736;5724630554;735633527;139010881;393392877;8358413762;1006146159;723373979;3468446896;208855105;889323830;454156160;58288170330
"Montpellier";44148;2339637549;87093969422;66700281126;3399395045;4591087300;496419714;18993293855;585955524;66242239094;10933369024;521638537;18127116047;50990883856;4304425243;997326488;156605892769;105645894077;169886887;141935073;464008643;9210448122;2714680993;5665823733;5473830194;73928551112;36216607427;342395466791;18078249435;250842209;5996903535;1420772387;1471915981;17919211886;2852602009;14877047932;117601543089;15562807148;976547023;8635537287;14736282041;879389951;379846080;98290352851;3047317058;7444027406;40140674;1385535473;127252590;31026501440;24266992828;290950619;2207696306;36636821418;1270779919;7970274250;62057928402;11155468802;1503105610;247735235;860597789;16949958501;1955410432;1615896104;10257986254;423867116;1646971117;1202159841;125283773303
