"City";"NbCells";"Amazon_Web_Services";"Apple_App_Store";"Apple_iCloud";"Apple_iMessage";"Apple_iTunes";"Apple_Mail";"Apple_Music";"Apple_Siri";"Apple_Video";"Apple_Web_Services";"Clash_of_Clans";"DailyMotion";"Deezer";"Dropbox";"EA_Games";"Facebook";"Facebook_Live";"Facebook_Messenger";"Fortnite";"Google_Docs";"Google_Drive";"Google_Mail";"Google_Maps";"Google_Meet";"Google_Play_Store";"Google_Web_Services";"Instagram";"LinkedIn";"Microsoft_Azure";"Microsoft_Mail";"Microsoft_Office";"Microsoft_Skydrive";"Microsoft_Store";"Microsoft_Web_Services";"Molotov";"Netflix";"Orange_TV";"Periscope";"Pinterest";"PlayStation";"Pokemon_GO";"Skype";"Snapchat";"SoundCloud";"Spotify";"TeamViewer";"Telegram";"Tor";"Twitch";"Twitter";"Uber";"Waze";"Web_Ads";"Web_Adult";"Web_Clothes";"Web_Downloads";"Web_e-Commerce";"Web_Finance";"Web_Food";"Web_Games";"Web_Streaming";"Web_Transportation";"Web_Weather";"WhatsApp";"Wikipedia";"Yahoo";"Yahoo_Mail";"YouTube"
"Bordeaux";57846;3837887973;186109338374;137528672224;1640857385;11631177446;1108035893;38500995197;1147332649;123176795358;23670188375;1174168041;45255970589;120938002621;6409403885;1999807269;336577172637;239985604026;304254660;198552759;1195003720;20270991656;5420691821;15377982304;13184023961;101230991068;73664473575;856367054783;52035697518;1384861542;12235669232;3634164416;3084545479;23947474525;6054633045;27994881698;246948534962;32698936090;1512004201;20194022634;19193824137;2448830858;984270629;177035820818;7105870713;23014226154;69968781;662295947;173094232;65766039914;53454425064;1010150539;7132366617;87466016124;2725649704;14850280966;95479964368;23250866926;2470791746;513076243;1724068539;28870583483;3814861604;2421529837;20606800717;1013515746;4284553452;2299290631;232437679670
"Clermont-Ferrand";30393;782536711;29097891582;19791568217;1147715930;1824182175;144339983;4962983928;190412624;27145896263;4017246509;220831812;8499383094;19144796944;1104263192;439941793;62822186745;45158309774;57093808;34632456;173625122;2997442118;992489761;2070987797;1004017327;22120653344;13758628773;134894302170;6132663749;98925000;1883803949;422098652;2191645819;7413978865;1253101730;5615029875;37201795853;5322089030;271145732;3955646784;4240837660;597551625;154944971;31652891487;671935375;3757717825;18139452;70227262;13173128;11227600098;11716140449;27282261;705309793;17406313101;839135797;2680230763;17681548399;5329792330;484563999;110860456;477064532;5342516423;667744760;437287666;2921409976;182199421;665648666;348292328;42213290030
"Dijon";23682;679012415;25823414565;19884953389;400993006;1835387322;179156750;5905664838;160021951;15496033456;3710950198;204475771;6142282338;18346870692;2245932607;274246460;55542407258;41191455609;51011503;31504554;296860115;2713398873;767162346;1695043645;1277546396;20099883470;11125296191;119679701736;6119220456;75589796;1861834790;582020739;618057229;6259704055;1047767232;4490228446;43023630464;6288185225;353528873;3508196528;2847511157;620624474;116946001;35812247811;802026688;3363589450;12076065;133710054;35628391;12363008744;15734907340;39532006;481367252;16724986789;413985251;2621293759;15898272008;4447190041;556877242;89650472;322305889;4628761933;811514452;464422000;2609199154;180242594;630732330;326067077;40862100249
"Grenoble";54412;1642093556;51408148133;35559009438;2099072232;3215221173;249434032;10218967710;342133896;33765484101;6891393012;453460883;18165970753;43746200166;2760074271;513836252;107283168858;77574606348;93262796;66215661;391734377;6694824145;1712559119;4070789662;2659409656;41392532557;26236373648;212806098037;13320211397;332722182;4260356259;1285022982;1202189171;9090405690;2256428411;11197052368;73087578318;11739462358;761130745;7073164222;6931390890;911228076;274809774;64302197507;2024372124;7366194160;13963444;376799244;53174847;20964172151;16118206461;75716634;1359696976;32397494211;1117531725;4590347961;34514169702;9381094696;1143476860;212418280;692937380;11353328743;1273955263;700647247;7718117567;351349454;1820143835;868384824;85177551490
"Lille";67750;7586172548;253021096117;165927879701;8035186101;16519582830;1179227216;41699377621;1587139087;113301560058;34943512669;1909176020;64259286788;152729894009;10160207079;3871180358;498476858738;364010326588;498207467;442489019;2236819882;27487137493;6787942249;15263438452;14840512603;155909462121;106034034116;871266002903;75627790558;1007249171;18140243854;4341607955;4579129710;40511610468;8549423715;48494234723;354134740071;42317600220;2994215353;28712071070;50611810455;3990200506;1290554765;291432294401;6916593364;32419141568;136741583;917164728;347894227;99327556711;130264454050;914481143;7342682926;110946294671;5053995224;27755339468;154771944239;41578894667;4032980094;993995900;3012461188;48854548505;5805085903;3162712803;23769963326;1237514176;5673148429;4196912721;339820164395
"Lyon";54013;5117718232;209556706183;145861009578;8568765451;12692379686;1261417512;43418782109;1349917140;123976268420;30544503911;1326451274;55440956494;127124837216;8910101431;1911525163;338338457802;241140124763;361893862;185600177;1189273067;24161449860;6253766110;17853696749;13546825066;117642330934;88784110265;781282621722;78383518779;876105328;17815548206;3477947313;3314659931;28493879646;7529272163;32702524548;280070294482;32643757032;2911648324;20103076891;18868706419;3188694615;1056088817;196652396180;8229446667;28978353833;152614599;627346284;813790975;61628014293;63320607862;1282197255;6795961335;102956590326;3274591368;14837689027;98700202045;28737058335;3506945869;526029278;1965915229;37180926650;5074291754;2538270233;29008513228;1265101135;5927310200;3187220924;285808525191
"Mans";26859;589283314;23676786325;18000932629;959120694;1450368128;128561828;3223402853;144656177;15079827796;3427358567;195333669;8123087528;13445319002;801844724;373123204;56597011021;40662917215;51769073;35232791;150675267;2443404119;844273457;1722478273;867861925;18687947412;11311488880;87511528763;5350773745;91455589;1681605703;240488660;747911611;4444691174;971764267;5867316625;37622940528;6290589253;246236078;3018078363;3182511178;555255882;152898577;26532190423;534477233;2478297151;7654658;41425236;8133909;11905699362;14275917148;32358727;777068360;14673037052;307860627;2363629908;15184462686;4312751246;440759609;75432601;320221104;4471586498;607138167;565358291;3727699802;129545054;554811257;291509330;33791641444
"Marseille";23663;2641835035;99161442054;80597287409;5241523868;5954900012;657477416;19247337368;639534713;61607217993;12715711818;556519860;25089628483;56561936844;7324886926;926266291;175735086282;123405826114;196607371;121590621;462080471;10244994870;3660837158;6427501704;5362127573;52401590887;38399230281;374651125034;21371885814;266143485;7289423710;1471457127;1520464381;12836913212;2948332639;14664806280;127212511389;17856802268;868018347;9059869835;9262980918;818577810;865963934;124003850939;2283212496;9750834089;51029305;290792838;75370994;24463275545;24426478030;382521611;2088288116;46616998122;1235441365;7666159724;53638789675;14414723811;1564451739;249870915;886973335;17060103216;2175525311;899597151;12164552504;491379222;2480625210;1502004260;137626906949
"Metz";30744;1027646703;38838019019;25983159408;644280134;2184132822;256413363;6616052689;244425294;19016948590;4967837029;275463808;8895724920;31250229524;1380647516;463523713;78646599679;59240443558;72035443;46625533;211755935;3935996929;1128371314;2358472370;1783069214;23441836215;15663069361;143657182840;8733204122;152693630;2798775963;807108866;770379370;7695504661;1210915799;6476590833;56579790009;7872694924;719887542;4602761013;6838333097;777260979;233539160;56352346425;798339501;5031324601;26417617;138056932;66524035;12520622966;23795616721;20564713;587279497;21051941838;444778033;3893086890;24478471671;6734851853;598983292;126615491;422214766;7700917364;1335027727;620156185;3823204227;219104668;940319230;430903328;61196677497
"Montpellier";44148;2023922183;79206245436;62527746007;3930695308;4962452348;476931369;16858474924;551452253;55048209469;10712079507;518361909;19473276702;50873061896;4700714141;770875916;160061085282;108667464466;157738350;88679801;541757892;9194311541;2584542389;6459218796;5388945879;44959210762;34326239017;351520604469;17328936956;229868959;5895278324;1142978397;2303844320;14712309873;2664443257;15567053521;115064404167;16183031276;867729492;8114250091;9967257969;1073144181;435994325;96944213399;3029644186;10822585643;20456373;315117413;98962141;23975832862;25628111093;256615931;2375058390;40135337569;1272236381;6989710878;45960643444;11726550599;1391771882;200481214;959573230;12907917168;1863480379;989465736;11142505710;440952050;1774558130;1075188068;121197992722
